pt,m,mean,std,rank,median,iqr
default,Duration?,1.0986798490796779,0.11138707313441344,,,
random60,Duration?,6.5610074542817625,0.7363885279435529,,,
random150,Duration?,14.716324442908874,1.2863670509947525,,,
random300,Duration?,29.358563752401437,2.3035466247071827,,,
sway,Duration?,97.32142924127125,8.014998957332896,,,
tpe,Duration?,216.13081783340095,31.79324713029762,,,
nsga-ii,Duration?,210.15612729390463,125.97220428564958,,,
nsga-iii,Duration?,226.0786181290943,36.35538921021905,,,
moead,Duration?,98.57868770190647,59.51375284287228,,,
default,MAR-,2793.6873521116104,270.49554439901044,1.0,2881.28596385542,466.3587349397603
random60,MAR-,2918.4295462258447,331.17675554851604,2.0,2907.27975392923,387.59305971923004
random150,MAR-,2900.6861113116643,277.8642169192288,4.0,2996.31461475746,380.8260970452702
random300,MAR-,3026.9276454630544,315.2892568396747,5.0,3004.5920702991,354.21430036971014
sway,MAR-,3060.7393716972792,389.5251428522858,3.0,2947.2024437994,483.3651454342603
tpe,MAR-,3117.984396224452,434.8353291891317,5.0,3000.10041228327,685.7572798648398
nsga-ii,MAR-,3019.9551722736064,401.03896025509357,4.0,2970.41625681125,692.0068119799203
nsga-iii,MAR-,3174.0847601727755,387.90361108591327,6.0,3175.58133683394,622.5722298133501
moead,MAR-,2919.236861158858,307.8865645592152,2.0,2905.91960650348,310.5471578266802
default,SA+,0.4273451102374421,0.04613494153230041,1.0,0.429703012757633,0.05601444483601198
random60,SA+,0.4015609262070588,0.05908449460670155,2.0,0.393207699412194,0.091730637215167
random150,SA+,0.4043937717978215,0.06067821545910084,2.0,0.410786666740307,0.06629096085376901
random300,SA+,0.37681324279435935,0.08195407823247085,2.0,0.404455270769418,0.111844344345016
sway,SA+,0.3715815242752467,0.08001443887971367,3.0,0.386292954691962,0.11237636128735295
tpe,SA+,0.35963430247484796,0.09093926109698856,3.0,0.361655485805487,0.13011856744600597
nsga-ii,SA+,0.3801824628792877,0.08247627001582825,2.0,0.399795863189975,0.1063796117825
nsga-iii,SA+,0.3469878492177268,0.09100234282536479,4.0,0.318139552644002,0.12806279053326297
moead,SA+,0.40167554420134544,0.05309823865379461,2.0,0.402291722343108,0.08533477799894601
default,SdAR-,4288.920659866267,652.8465181860078,,,
random60,SdAR-,4313.2413228806,763.2218415833944,,,
random150,SdAR-,4310.59373758312,661.0449163764172,,,
random300,SdAR-,4343.922184500284,692.0465792988939,,,
sway,SdAR-,4516.1357307394765,897.0371410761652,,,
