pt,m,mean,std,rank,median,iqr
default,Duration?,0.9754392306009931,0.08259393060010008,,,
random60,Duration?,5.08806129864284,0.5078428350750462,,,
random150,Duration?,11.823304562341587,1.1123109146850052,,,
random300,Duration?,23.140740383239013,2.568670386486516,,,
sway,Duration?,103.38360754648838,7.076640861611515,,,
tpe,Duration?,186.5739706584386,22.42612035447184,,,
nsga-ii,Duration?,97.7323749405997,38.68839291358406,,,
nsga-iii,Duration?,185.61141548837938,16.091590081520366,,,
moead,Duration?,81.11082029342644,42.89242531512798,,,
default,MAR-,2333.1730842490833,367.1379662168595,1.0,2226.19961538461,470.50307692307024
random60,MAR-,2901.4093600813467,395.9887698635489,3.0,2940.36752136752,479.2826961071801
random150,MAR-,2758.880857093151,410.4398403140638,2.0,2740.48373486609,358.7737345166697
random300,MAR-,2627.2359853941157,391.93773462275345,2.0,2575.49822126176,585.8881157917099
sway,MAR-,2843.9725317956486,527.4767434792448,3.0,2947.56116398814,432.41426886005
tpe,MAR-,2754.836548186943,404.5082265236925,2.0,2782.06523076923,380.47806896892007
nsga-ii,MAR-,2713.003938133995,441.2203878485025,2.0,2772.16175738804,546.9667713721401
nsga-iii,MAR-,2665.8298356350365,457.2921350327937,2.0,2807.41615384615,660.8565581333901
moead,MAR-,2772.381859326028,507.6198235807921,3.0,2863.60342361864,968.3743553649601
default,SA+,0.41413810674454626,0.07035018237316372,1.0,0.420177223065066,0.11336971454864703
random60,SA+,0.2697780499943386,0.08688962123027164,4.0,0.269887900999014,0.09559044178734999
random150,SA+,0.30361212828135564,0.10885642850188398,3.0,0.316256196826638,0.173551784434589
random300,SA+,0.33613667787764223,0.10815385167821935,2.0,0.368266680927219,0.13199389733829098
sway,SA+,0.28549615122499916,0.11976749446835143,4.0,0.28955260086233,0.116876066361292
tpe,SA+,0.30314830523562486,0.11645961513077296,3.0,0.312526329668311,0.164048972912903
nsga-ii,SA+,0.3174819442001594,0.10023050370177691,3.0,0.315044436167452,0.13820962413014104
nsga-iii,SA+,0.3282441948012783,0.11291239632259809,3.0,0.321180792048513,0.174374357365095
moead,SA+,0.3072992781056251,0.0832963066479737,4.0,0.288728874165335,0.139430988916318
default,SdAR-,2309.3072749667303,528.8797362120725,1.0,2136.39472066549,1022.5305054596101
random60,SdAR-,2700.1623260745173,878.7002366529886,2.0,2471.62836958553,1627.06037928306
random150,SdAR-,2560.302353679859,718.5793699897262,2.0,2492.60130150818,1084.6048899839
random300,SdAR-,2506.6724780040936,757.2930059566388,2.0,2210.36177280431,1247.0459620207998
sway,SdAR-,2628.9024349801207,896.0565398868597,2.0,2437.75115654456,1677.8263680197
tpe,SdAR-,2456.62027868742,737.6281348828351,2.0,2349.94183149641,941.0111160660797
nsga-ii,SdAR-,2586.6375546894624,875.7016382943693,2.0,2337.13498503652,1598.70880429857
nsga-iii,SdAR-,2478.4413691851346,748.1936064761445,2.0,2409.2879030971,1019.75141815148
moead,SdAR-,2645.363870814028,886.825177099913,2.0,2370.11560755224,1751.2026101362599
default,SD+,0.4321486846598609,0.07939462500347727,1.0,0.441591656551251,0.106245525115307
random60,SD+,0.3525886062731623,0.09380831036486376,3.0,0.352897134454846,0.135798006644206
random150,SD+,0.37858371742178565,0.08488602512074789,2.0,0.407712742224505,0.108065697507508
random300,SD+,0.39370044942300175,0.09322970271096917,2.0,0.425519313886765,0.14793939470070505
sway,SD+,0.3719523067837697,0.10206311445863349,3.0,0.357980587704491,0.183075170763072
tpe,SD+,0.40351295998262526,0.10024232181197285,1.0,0.432531175884978,0.14819940372367002
nsga-ii,SD+,0.37771846026246253,0.11635380536071685,2.0,0.409913422372095,0.144379803800257
nsga-iii,SD+,0.39925698757693245,0.09283850100007361,2.0,0.410307120060889,0.13719660401613204
moead,SD+,0.3646724217705658,0.09412740822231232,3.0,0.345074494348466,0.11670386163466301
default,Delta+,0.416994085648863,0.09735146486205794,1.0,0.421176081524281,0.11660143938146905
random60,Delta+,0.26962967991124825,0.09984082375480738,4.0,0.252875039301182,0.12060269240642399
random150,Delta+,0.2980689070815078,0.1097228539016448,3.0,0.272673061659752,0.11848915013396899
random300,Delta+,0.3343119794458409,0.11838102976985018,2.0,0.334893614042844,0.183408064086685
sway,Delta+,0.2805092164535297,0.11754905702455597,3.0,0.260901160598614,0.14546310787822297
tpe,Delta+,0.29560137759830507,0.10739633459363913,3.0,0.322159267914665,0.12851910880097
nsga-ii,Delta+,0.3154653798236117,0.10881309889823876,2.0,0.323653492711329,0.18569506766917898
nsga-iii,Delta+,0.32209324493464514,0.10446327137203892,2.0,0.324770416130756,0.147702750970577
moead,Delta+,0.3090707997175833,0.10286634816459773,3.0,0.288924947733954,0.15788169394501
default,MMRE-,0.7461941883951673,0.21332129394669266,1.0,0.771042185995718,0.26656049924521097
random60,MMRE-,1.116756674544702,0.34205005926417015,4.0,1.0888156058967,0.4833226562063989
random150,MMRE-,1.070279905939861,0.3447012745380804,4.0,1.07775825353598,0.540799828543862
random300,MMRE-,0.9796214804609901,0.2946549663195886,3.0,0.943481097621511,0.39410626361980194
sway,MMRE-,1.1286804126271253,0.40577182200092426,4.0,1.10693348579591,0.5567738840669241
tpe,MMRE-,1.089488513987113,0.3639898655676373,4.0,0.988977389976368,0.6368116117136942
nsga-ii,MMRE-,1.0533764418366751,0.37916186750185893,2.0,0.90009289576584,0.517365602912797
nsga-iii,MMRE-,1.0361569244053046,0.34680571374249125,4.0,0.983100980156905,0.520085488387771
moead,MMRE-,1.0247900715305152,0.3939952583562253,2.0,0.918494109726531,0.606254070206164
default,MdMRE-,0.4451284131586942,0.092932966886395,1.0,0.430923920084264,0.15054545999437607
random60,MdMRE-,0.559359786898185,0.13948823336558117,4.0,0.556547307148917,0.15493900094962504
random150,MdMRE-,0.5341005853139587,0.13482738422513332,4.0,0.550012575928581,0.15005372167648506
random300,MdMRE-,0.48622456768345235,0.10418276485497148,2.0,0.513822697566306,0.168580788801024
sway,MdMRE-,0.5423534091900235,0.14913217205024312,4.0,0.583315151718582,0.131425296612124
tpe,MdMRE-,0.5233910965753156,0.13470789103086367,4.0,0.540538730497959,0.187857693575034
nsga-ii,MdMRE-,0.5039792656383957,0.12237890860444345,2.0,0.507098390826919,0.12743619501366393
nsga-iii,MdMRE-,0.4935178848237033,0.11090193528047614,3.0,0.515986753111277,0.18225938015827803
moead,MdMRE-,0.5213698239582777,0.1366577286935898,3.0,0.522238287103464,0.12792864863874698
default,Pred25+,0.30805860805860813,0.08815519499827879,1.0,0.307692307692308,0.09076923076923099
random60,Pred25+,0.2363369963369963,0.08843207026300068,3.0,0.24,0.153846153846154
random150,Pred25+,0.26644688644688647,0.0938254946335134,3.0,0.269230769230769,0.10769230769230798
random300,Pred25+,0.252014652014652,0.08667373229104046,3.0,0.24,0.11538461538461597
sway,Pred25+,0.25340659340659344,0.11623496185193258,3.0,0.24,0.19230769230769199
tpe,Pred25+,0.23648351648351656,0.11496862742344739,3.0,0.230769230769231,0.153846153846154
nsga-ii,Pred25+,0.25025641025641027,0.08687654756472138,3.0,0.24,0.16
nsga-iii,Pred25+,0.246007326007326,0.10926316395245264,2.0,0.269230769230769,0.166153846153846
moead,Pred25+,0.24227106227106227,0.09141442022070995,3.0,0.24,0.08769230769230801
default,Pred40+,0.46388278388278387,0.08484809823787669,1.0,0.461538461538462,0.13846153846153797
random60,Pred40+,0.36036630036630035,0.11167991535608332,4.0,0.32,0.143076923076923
random150,Pred40+,0.3868131868131869,0.11399529880119748,4.0,0.36,0.15384615384615402
random300,Pred40+,0.4135531135531137,0.10138288669895326,3.0,0.423076923076923,0.15999999999999998
sway,Pred40+,0.38695970695970694,0.1351016440035213,4.0,0.346153846153846,0.143076923076923
tpe,Pred40+,0.3835897435897436,0.10927120955978649,3.0,0.384615384615385,0.18153846153846198
nsga-ii,Pred40+,0.40805860805860805,0.10920466076048116,2.0,0.423076923076923,0.133846153846154
nsga-iii,Pred40+,0.40380952380952384,0.12700707621121143,3.0,0.384615384615385,0.172307692307692
moead,Pred40+,0.38879120879120876,0.1063344537808052,3.0,0.384615384615385,0.11538461538461603
