pt,m,mean,std,rank,median,iqr
random,Duration?,0.05219572782516481,0.006662136098700378,,,
sway,Duration?,0.05469970703125,0.0069984448340345675,,,
tpe,Duration?,0.05050917863845826,0.006269905772816373,,,
nsga-ii,Duration?,0.05039137601852417,0.008136652434594634,,,
nsga-iii,Duration?,0.05106900930404662,0.006973085783621393,,,
moead,Duration?,0.05223327875137329,0.0072372638915815645,,,
Random1024,Duration?,0.04691714048385621,0.002206381495967883,,,
Random300,Duration?,0.04810011386871339,0.00222162577110603,,,
random,Effort-,180.50837356440525,207.10564259065623,5.0,148.168785765124,175.3367570093788
sway,Effort-,300.09609962634386,287.76585646642013,6.0,202.820344016787,370.559979253959
tpe,Effort-,97.12265076020384,60.20057384691515,4.0,89.9665366941482,73.010584297263
nsga-ii,Effort-,58.55220638351558,43.98222418232998,2.0,58.5506995826324,54.2356723362754
nsga-iii,Effort-,48.92406993243741,33.11313018852022,1.0,28.8297956733445,51.59725226260301
moead,Effort-,48.437924294287235,42.65741945531833,1.0,40.2440858829049,32.4889437314862
Random1024,Effort-,41.18901901489919,27.79236485083909,1.0,44.0773764150581,42.32192978423839
Random300,Effort-,72.8891702264837,66.82373211440998,3.0,66.4235423536244,73.11033343562741
random,Months-,16.25802494633842,5.541108562651019,4.0,16.8979129033258,8.113362880455302
sway,Months-,18.597447939646326,7.139841465036362,5.0,18.7186353190718,12.617293995233402
tpe,Months-,13.674537675030866,2.703536806412026,3.0,13.4341827679442,2.4141640562371993
nsga-ii,Months-,11.593033506333754,3.2053486357044467,1.0,11.6611140032865,3.247045061174539
nsga-iii,Months-,11.752647747193677,2.366337491251868,2.0,12.0894479892485,3.1630550023105997
moead,Months-,11.460740528620903,3.139865240688781,1.0,10.9005123678507,4.7836763251248104
Random1024,Months-,11.128778882379484,2.835012698840717,1.0,11.4012600993324,1.873501544386201
Random300,Months-,12.06973583646567,4.135576435817463,1.0,10.6713468735769,6.12987613799055
random,Defects-,747.3481874320685,716.3195569443677,4.0,429.207946356259,1440.973734299482
sway,Defects-,1313.9065026727742,1330.070183729189,5.0,1001.22836596807,1594.518477834129
tpe,Defects-,333.6730695560376,283.27084984040556,3.0,205.45319690916,344.212430824395
nsga-ii,Defects-,246.59576408942922,265.22804306680484,2.0,195.632231075081,202.6039140979641
nsga-iii,Defects-,166.1120697734793,146.8612095535709,1.0,119.926795796128,174.7396854742247
moead,Defects-,208.79207619034446,184.24093366898825,1.0,174.570652761162,228.2241291923849
Random1024,Defects-,284.52537561100814,346.0988050232916,1.0,155.713814330991,469.3926983372043
Random300,Defects-,333.55238349211277,378.15020098627093,3.0,224.432891301371,454.3991499229715
random,Risks-,0.7104557640750668,0.759662124441018,4.0,0.536193029490617,1.07238605898123
sway,Risks-,1.072386058981233,0.9287135697420253,5.0,1.07238605898123,1.876675603217162
tpe,Risks-,0.2278820375335119,0.3399538586514085,1.0,0.0,0.536193029490617
nsga-ii,Risks-,0.36193029490616613,0.445862275232613,2.0,0.268096514745308,0.536193029490617
nsga-iii,Risks-,0.14745308310991964,0.23781265638686794,1.0,0.0,0.536193029490617
moead,Risks-,0.36193029490616613,0.39166052072610763,3.0,0.268096514745308,0.804289544235925
Random1024,Risks-,0.2546916890080425,0.36361179093190255,2.0,0.0,0.536193029490617
Random300,Risks-,0.9517426273458435,0.6819909855410022,5.0,1.07238605898123,0.804289544235923
