pt,m,mean,std,rank,median,iqr
random,Duration?,0.047906124591827394,0.003821686543274012,,,
sway,Duration?,0.051165902614593514,0.0037649896228106805,,,
tpe,Duration?,0.04832586050033571,0.003979056355035425,,,
nsga-ii,Duration?,0.04835425615310669,0.004772104603053955,,,
nsga-iii,Duration?,0.04656234979629518,0.004212669796363331,,,
moead,Duration?,0.048751473426818855,0.005243406171128904,,,
Random1024,Duration?,0.04705861806869507,0.0014414121220066149,,,
Random300,Duration?,0.048148000240325936,0.002386167242795517,,,
random,Effort-,117.9928913514241,89.19370345385214,4.0,107.251017895528,80.48379008880629
sway,Effort-,287.6789331216054,229.5459567070199,5.0,222.303572169907,346.07954728547503
tpe,Effort-,83.96341232884505,75.94450299997574,2.0,62.6091446321157,92.09150078328601
nsga-ii,Effort-,70.72709025291928,73.8049230212007,1.0,38.2892511116336,59.5784413980211
nsga-iii,Effort-,55.64750994477147,40.86758605843722,1.0,45.2862576177597,41.854211507806795
moead,Effort-,52.241982826913215,43.04202295474959,1.0,46.7331693328846,63.273331777103294
Random1024,Effort-,47.108360586104055,41.46423992803448,1.0,41.6425347215826,46.9712240695288
Random300,Effort-,102.78535131633298,88.76131603062086,3.0,69.5436793516874,86.4242798815069
random,Months-,16.33689952758578,4.4415081548994495,6.0,15.7567124460056,6.3622633392756995
sway,Months-,19.91660025092569,6.177599424305679,7.0,19.0277672944134,9.4659507106845
tpe,Months-,13.849418277101767,3.7694649082536413,5.0,14.5152927023317,5.591106921582501
nsga-ii,Months-,12.323507924590901,3.4935979136414144,2.0,11.7664769479289,5.994167056344089
nsga-iii,Months-,12.191376998353316,2.308924428734073,3.0,12.7311874577124,3.3714783542289
moead,Months-,12.162568303298972,3.597802913225939,2.0,12.1711149638274,5.56463326440802
Random1024,Months-,10.888639380080688,2.4428662744297203,1.0,10.6375262496438,3.96089450700636
Random300,Months-,13.88601128158297,2.806788757219338,4.0,13.4120149944613,3.4210372654659
random,Defects-,508.8111845991407,513.4564708410919,5.0,464.136907268477,600.887986720943
sway,Defects-,1589.310205058792,1596.2369711946767,6.0,951.161056172327,2145.537597564895
tpe,Defects-,335.57369986476016,348.3902191103312,4.0,201.314066159653,369.074687428658
nsga-ii,Defects-,371.5501923954377,542.9537715523986,3.0,174.456995448341,620.9284754402029
nsga-iii,Defects-,325.6016078239487,507.0590972261122,2.0,118.724899593127,385.9972404595368
moead,Defects-,155.90936655993355,158.75677529241253,1.0,94.3968794935928,209.6917248343434
Random1024,Defects-,160.17039390311763,183.10634472706218,1.0,97.6299039997208,138.71297112466488
Random300,Defects-,349.1263437715364,386.3121286393402,4.0,203.017411708402,352.36924368191103
random,Risks-,0.5227882037533507,0.4722329345408033,3.0,0.536193029490617,1.07238605898123
sway,Risks-,1.4209115281501334,0.8831992634219209,4.0,1.34048257372654,1.3404825737265451
tpe,Risks-,0.3887399463806969,0.38385579258113506,3.0,0.536193029490617,0.536193029490617
nsga-ii,Risks-,0.4021447721179623,0.37412370773424114,3.0,0.536193029490617,0.536193029490617
nsga-iii,Risks-,0.3887399463806971,0.34217217816666584,3.0,0.536193029490617,0.536193029490617
moead,Risks-,0.2949061662198392,0.24447976035629815,2.0,0.268096514745308,0.536193029490617
Random1024,Risks-,0.29490616621983906,0.35757958651761373,1.0,0.0,0.536193029490617
Random300,Risks-,0.254691689008043,0.3309319144697711,1.0,0.0,0.536193029490617
