pt,m,mean,std,rank,median,iqr
default,Duration?,1.0172553970700229,0.05984968621080912,,,
sway,Duration?,90.0610919112251,3.1218249763542727,,,
tpe,Duration?,159.8559559867497,6.4275466801364765,,,
nsga-ii,Duration?,95.74237340972536,33.02278527841956,,,
nsga-iii,Duration?,164.0567145688194,20.21124070423788,,,
moead,Duration?,13.932205938157578,5.414372097378702,,,
random60,Duration?,4.689277160735357,0.6582308352766754,,,
random150,Duration?,11.0061815012069,0.46993178741377184,,,
default,MAR-,2156.041568986569,574.415893006215,1.0,2073.93461538462,786.8025000000002
sway,MAR-,2553.8620599228184,504.83045748783826,2.0,2568.62656668728,615.91349815167
tpe,MAR-,2496.271047944384,477.920228563504,2.0,2580.374,476.08391589179973
nsga-ii,MAR-,2485.919253647762,547.8191000039749,2.0,2508.29506666667,547.12744690935
nsga-iii,MAR-,2538.1907653394815,517.5928885988967,2.0,2530.79565105681,689.5387192056298
moead,MAR-,2623.407078933419,510.3064829870221,2.0,2594.87512094823,833.1718579235003
random60,MAR-,2542.8203213726365,492.27260630160447,2.0,2515.68037960635,958.0661904761901
random150,MAR-,2527.367621392006,489.96674387976583,2.0,2584.87921212121,634.4183004398601
default,SA+,0.24268604049948625,0.36601635352661155,1.0,0.350239043949503,0.12552004034604797
sway,SA+,0.10127194350634561,0.34357855802585857,2.0,0.198470618851819,0.17609104662109698
tpe,SA+,0.1296341927218447,0.28379515395528115,2.0,0.193134512823409,0.18272090197783922
nsga-ii,SA+,0.13612942784073812,0.29894446828522814,2.0,0.200271823513086,0.18493849772067
nsga-iii,SA+,0.11054066486906815,0.3312110468094561,2.0,0.184243558189197,0.203272070221181
moead,SA+,0.08422869225950216,0.3235423297647331,2.0,0.179451344418864,0.20516137576330407
random60,SA+,0.10983004558306501,0.32216294143329,2.0,0.194367528930065,0.1961455711404112
random150,SA+,0.11630940428737571,0.3049657138316195,2.0,0.196468038595869,0.223421206765145
default,SdAR-,2163.013730778241,818.197683189938,,,
sway,SdAR-,2160.251076060006,1071.3456076260109,,,
tpe,SdAR-,2173.981279052115,1036.297846582375,,,
nsga-ii,SdAR-,2085.6554560143613,1016.1509040675646,,,
nsga-iii,SdAR-,2152.527155306038,1034.7111207775845,,,
moead,SdAR-,2092.524647140702,1026.5268439922838,,,
random60,SdAR-,2140.673536946957,1022.3660875050751,,,
random150,SdAR-,2149.4979352434048,984.2665443570079,,,
default,SD+,0.31577010641713754,0.16998843686006365,1.0,0.33720440715108,0.16748737101100702
sway,SD+,0.3651420454108728,0.14713415191048615,1.0,0.365127092450245,0.18697693526833903
tpe,SD+,0.35143811182659074,0.1356586535736599,1.0,0.3757532879879,0.13889063982613997
nsga-ii,SD+,0.3851247039790219,0.14032209857845504,1.0,0.406793039772186,0.155221842404075
nsga-iii,SD+,0.36140290933463115,0.1468420480162946,1.0,0.400932185501976,0.22309805261967
moead,SD+,0.3817905293536963,0.13970599176056733,1.0,0.387145833748478,0.180817527464753
random60,SD+,0.36912626721512637,0.13358216216330884,1.0,0.362143526718938,0.19319695075119103
random150,SD+,0.3482432370342566,0.14156494978193537,1.0,0.361486146343817,0.160131492334054
default,Delta+,0.34432106953170577,0.20203272332823413,1.0,0.348971008013602,0.12126694482682399
sway,Delta+,0.2614343938985946,0.17300663369489755,2.0,0.242442658144297,0.169453336093948
tpe,Delta+,0.23717523720397657,0.15280590222706888,2.0,0.228556320477146,0.220690896743712
nsga-ii,Delta+,0.2534180317366749,0.1447682977602455,2.0,0.260165534364141,0.17477310431362103
nsga-iii,Delta+,0.24370410851901164,0.1868875958663211,2.0,0.221268063827461,0.234552582517415
moead,Delta+,0.22604446172801476,0.18337033243286757,2.0,0.220683053860301,0.1878417709038498
random60,Delta+,0.24548538672140502,0.16945099729216462,2.0,0.252823996718658,0.17525324647975898
random150,Delta+,0.2435193901138089,0.16561410716479552,2.0,0.212401166645701,0.172535631578877
default,MMRE-,1.6324592909817148,0.6150929500189531,1.0,1.61424700800759,0.36265023509251004
sway,MMRE-,3.5360473335915557,1.6688284094736865,3.0,3.55356670917665,1.6766637305649303
tpe,MMRE-,3.391869037682114,1.6432072781872153,3.0,3.39396080483071,2.20059199370605
nsga-ii,MMRE-,3.550677066354614,1.7345095014478025,3.0,3.68511308160913,1.72269176986434
nsga-iii,MMRE-,3.5929885634425967,1.6144955008786148,3.0,3.4808227052018,1.8310635494713003
moead,MMRE-,4.012204531813617,1.7962128513919786,4.0,3.9309239112797,2.4449224053410004
random60,MMRE-,3.558171731975616,1.6226644885069303,2.0,3.03412027568538,2.4166801657271204
random150,MMRE-,3.793873408941704,1.9491877445410677,3.0,3.52654852374144,2.2105933772371302
default,MdMRE-,0.9306834576575747,0.33873560459655755,1.0,0.859398676027139,0.43031295633195
sway,MdMRE-,1.0855959827122947,0.5611062990570517,2.0,0.87914927439629,0.6106128566941621
tpe,MdMRE-,1.014330548241294,0.458284569404897,1.0,0.856835511982571,0.5184758586766339
nsga-ii,MdMRE-,1.0606772269160405,0.5562647810407411,2.0,0.886938997821351,0.553419462999151
nsga-iii,MdMRE-,1.0885962512540968,0.5689531768445616,2.0,0.96847123990099,0.6424333957833149
moead,MdMRE-,1.1694184631241173,0.5641682372171666,2.0,0.981206411509047,0.5599938024776381
random60,MdMRE-,1.1142038933071097,0.5279383150115897,2.0,0.894053189598792,0.6095363971249199
random150,MdMRE-,1.16046480910011,0.6030968760424632,2.0,0.924626588038682,0.726245592976943
default,Pred25+,0.1269841269841271,0.06441012906048099,,,
sway,Pred25+,0.11202686202686207,0.08699119578664975,,,
tpe,Pred25+,0.1117216117216118,0.10181157076933367,,,
nsga-ii,Pred25+,0.11477411477411485,0.09286921360832832,,,
nsga-iii,Pred25+,0.12362637362637367,0.09822853325281099,,,
moead,Pred25+,0.09615384615384621,0.07472830472202104,,,
random60,Pred25+,0.1224053724053725,0.08105628583871606,,,
random150,Pred25+,0.11568986568986576,0.06488231489888346,,,
default,Pred40+,0.23443223443223457,0.0932592387936045,1.0,0.25,0.141025641025641
sway,Pred40+,0.19139194139194152,0.10648139640611169,3.0,0.166666666666667,0.1474358974358977
tpe,Pred40+,0.21092796092796107,0.13023875501665075,3.0,0.166666666666667,0.16666666666666669
nsga-ii,Pred40+,0.2066544566544568,0.11518688117550839,3.0,0.166666666666667,0.096153846153846
nsga-iii,Pred40+,0.19963369963369973,0.1193975555654598,3.0,0.166666666666667,0.16666666666666669
moead,Pred40+,0.1831501831501833,0.12411043476994453,3.0,0.166666666666667,0.1474358974358977
random60,Pred40+,0.1749084249084251,0.09451907007017976,3.0,0.166666666666667,0.1474358974358977
random150,Pred40+,0.2023809523809525,0.10452004022700244,2.0,0.166666666666667,0.16666666666666669
