pt,m,mean,std,rank,median,iqr
random,Duration?,0.04757457971572876,0.002501915460828919,,,
sway,Duration?,0.05097830295562744,0.00458000476770509,,,
tpe,Duration?,0.04850760698318482,0.0044544028748216506,,,
nsga-ii,Duration?,0.049574708938598624,0.0047311000692354934,,,
nsga-iii,Duration?,0.05005036592483521,0.00437034512758541,,,
moead,Duration?,0.047721445560455336,0.005270325657279461,,,
Random1024,Duration?,0.046903681755065915,0.0028735524929562896,,,
Random300,Duration?,0.05161432027816776,0.015513989683392175,,,
random,Effort-,150.43605589191432,163.69673438271485,6.0,106.911190290983,159.5945014440124
sway,Effort-,303.3649026538295,348.1590965030891,7.0,218.373856769681,356.03027283663573
tpe,Effort-,68.10182680995587,47.48329584507207,5.0,64.5915348033822,88.5209147219399
nsga-ii,Effort-,57.18697518072215,53.77056464610118,3.0,38.5957919482625,46.451527112773405
nsga-iii,Effort-,38.510284299171055,31.64914680710283,1.0,32.8896988651137,38.8505296961366
moead,Effort-,39.113121531539676,26.950458175096692,2.0,33.4237066134225,33.7734508602288
Random1024,Effort-,29.811920099156158,20.492920291063875,1.0,26.1333398694238,34.238449439680494
Random300,Effort-,119.18825748546628,117.92567081206042,4.0,58.7775884238297,154.9212130692398
random,Months-,14.93980968433831,5.079389536813942,4.0,15.3416846204256,8.0676233297107
sway,Months-,17.288758416578393,5.652782226543166,5.0,18.7336680869143,8.157468400667002
tpe,Months-,12.997753153038332,3.2457469337538223,3.0,12.8542051970464,3.6964076953849005
nsga-ii,Months-,12.535304359567993,3.199960746659014,3.0,12.9050723083961,4.4485505542964
nsga-iii,Months-,10.083123103764418,2.0898154463794687,1.0,9.3748362514912,3.9358191337661594
moead,Months-,11.114833108360658,2.4418139832881516,2.0,10.4659437060798,3.7322593975567298
Random1024,Months-,10.561426300402072,2.6509015122904946,2.0,10.7722113043104,4.00605255814909
Random300,Months-,13.901521149736336,3.2396809167433696,4.0,14.1038938071129,3.9637915009918014
random,Defects-,988.8449122295309,1760.2865277883523,5.0,333.310604514351,1009.1968100034261
sway,Defects-,1821.5322359983973,2295.186458637749,6.0,828.631378505046,2043.8218640612208
tpe,Defects-,366.51822064054215,484.082932133435,4.0,291.616804004534,427.42011958815306
nsga-ii,Defects-,177.66068363214924,255.08647434361922,1.0,75.8514977224708,218.46786631052007
nsga-iii,Defects-,184.48081086375345,139.64086537320756,2.0,167.221536994542,155.7088766054029
moead,Defects-,157.93352480039408,213.42061891192796,1.0,93.4107568427461,141.0099194403922
Random1024,Defects-,99.53098309629566,70.91454654933881,1.0,91.7010978840991,98.61938066707529
Random300,Defects-,347.01947307542446,366.2918997378691,3.0,189.606937066362,484.19638032812964
random,Risks-,1.032171581769435,0.8264433968905179,3.0,1.07238605898123,0.536193029490613
sway,Risks-,1.3941018766756037,0.9432634932038193,4.0,1.60857908847185,1.6085790884718532
tpe,Risks-,0.4423592493297585,0.350905248619445,2.0,0.536193029490617,0.536193029490617
nsga-ii,Risks-,0.2680965147453082,0.32545682502245754,1.0,0.268096514745308,0.536193029490617
nsga-iii,Risks-,0.48257372654155456,0.4732332172429418,2.0,0.536193029490617,0.804289544235925
moead,Risks-,0.37533512064343116,0.37311119246029906,2.0,0.268096514745308,0.536193029490617
Random1024,Risks-,0.402144772117962,0.42166086630404725,2.0,0.268096514745308,0.804289544235925
Random300,Risks-,0.30831099195710443,0.42855738645158903,1.0,0.0,0.536193029490617
