pt,m,mean,std,rank,median,iqr
random,Duration?,0.04777773618698121,0.003576680443830172,,,
sway,Duration?,0.04966552257537842,0.004152324213758763,,,
tpe,Duration?,0.049431717395782476,0.004116497485068206,,,
nsga-ii,Duration?,0.0495258927345276,0.00536145551832098,,,
nsga-iii,Duration?,0.04979814291000366,0.004419777018188113,,,
moead,Duration?,0.0496604084968567,0.005540908254256462,,,
Random1024,Duration?,0.04653756618499756,0.001020874185953138,,,
Random300,Duration?,0.04748969078063966,0.0011697883985015245,,,
random,Effort-,165.3952157015645,135.15649721966787,4.0,122.359108534491,259.7751320974875
sway,Effort-,480.54449354660545,517.9162565176682,5.0,347.067218296579,362.07647859704394
tpe,Effort-,60.591028743714716,65.78222551812634,1.0,44.3562842124245,31.437131880561097
nsga-ii,Effort-,44.80827385780463,30.142162472999424,1.0,30.8152488114149,43.90340584007979
nsga-iii,Effort-,50.96414461149771,43.13159637267679,1.0,36.065862938323,43.3719300050839
moead,Effort-,67.88437043160181,54.93926113920479,2.0,55.8726724177518,74.38790809975109
Random1024,Effort-,41.5617265815462,26.53947472859269,1.0,35.3541681101683,33.80372896069851
Random300,Effort-,97.43454943404191,96.34822920765434,3.0,59.3809369251264,120.58566419023161
random,Months-,17.354287591423727,6.240416305121601,4.0,18.3036366851119,7.6414515491757005
sway,Months-,20.078173679502786,6.664278220037987,5.0,18.6544704095706,5.627210786299802
tpe,Months-,13.045617273999005,2.725409210257945,2.0,12.9683702505344,4.493702451830801
nsga-ii,Months-,12.34988165888736,2.470876707482289,2.0,12.9106130142361,2.0537259317351992
nsga-iii,Months-,11.79201010975531,2.7392670600796993,1.0,11.1673161881596,3.5079840958920006
moead,Months-,12.124200258627022,2.5888591639215246,2.0,12.9926854746728,4.99321923298341
Random1024,Months-,11.256357210204179,2.242597798970065,1.0,11.4951745546172,3.5409072788747107
Random300,Months-,13.995675332761788,3.704861141898415,3.0,13.1652173340702,6.4226793581169
random,Defects-,746.9036637319748,699.2157057717246,3.0,579.054060055141,905.471526384636
sway,Defects-,1882.3269893141114,1634.1321532437669,4.0,1805.96258327531,2225.064680914463
tpe,Defects-,249.82335572422863,458.51207302564103,1.0,146.261236102885,150.9340339702356
nsga-ii,Defects-,172.73355746712537,157.9692335567418,1.0,155.219668511848,131.012993552526
nsga-iii,Defects-,205.30742923866296,226.8417409337972,1.0,82.0580710225315,252.09384433885353
moead,Defects-,279.93524375327604,240.79245859305993,2.0,210.293941929408,364.168623433307
Random1024,Defects-,140.90620862638048,116.14220928079911,1.0,112.304616594399,114.87575026811429
Random300,Defects-,335.97522978419437,330.76078740899544,2.0,217.596491104027,395.936219031262
random,Risks-,0.616621983914209,0.7881355984083427,3.0,0.536193029490617,0.804289544235925
sway,Risks-,1.1126005361930296,1.118234658073115,4.0,0.804289544235925,1.3404825737265431
tpe,Risks-,0.37533512064343133,0.42965936149385014,3.0,0.268096514745308,0.536193029490617
nsga-ii,Risks-,0.455764075067024,0.5226163187565124,3.0,0.536193029490617,0.536193029490617
nsga-iii,Risks-,0.4155495978552278,0.4559300488799065,3.0,0.268096514745308,0.536193029490617
moead,Risks-,0.2144772117962467,0.26950385520109105,1.0,0.0,0.536193029490617
Random1024,Risks-,0.2412868632707772,0.37814665896645555,1.0,0.0,0.536193029490617
Random300,Risks-,0.3217158176943694,0.4569660194245515,2.0,0.0,0.536193029490617
