Iteration,PT,HV+,GD-,DCI+,UNFR+
0,random search,0.00014800606795600698,0.10974094705484816,0.0,0.0
0,sway,0.0001909062908575483,0.0582365795455697,0.08823529411764705,0.02127659574468085
0,tpe,2.679843647178811e-05,0.3135889636232092,0.0,0.0
0,nsga-ii,0.00028634504007171284,0.00042703535240384057,0.8676470588235294,0.5106382978723404
0,nsga-iii,0.0002741387082195427,0.009430077104255774,0.39705882352941174,0.0425531914893617
0,moead,2.120121207480625e-05,0.3889417111011498,0.0,0.0
1,random search,0.00019606855906438906,0.08578843916164258,0.0,0.0
1,sway,9.764642375898128e-05,0.22119941128178883,0.0,0.0
1,tpe,0.0,1.0989781472476488,0.0,0.0
1,nsga-ii,0.0004247998106003206,0.010477307870190179,0.9264705882352942,0.56
1,nsga-iii,0.00031085399111003485,0.07038392289911562,0.29411764705882354,0.04
1,moead,0.0002021500747984977,0.1050938636219187,0.0,0.0
2,random search,2.2242001406222745e-05,0.28057014407208425,0.0,0.0
2,sway,1.5629589252665835e-05,0.09212367390528572,0.0,0.0
2,tpe,2.990265012636137e-06,0.5533795177400957,0.0,0.0
2,nsga-ii,8.772184007646585e-05,0.0013297543756804414,1.0,0.288135593220339
2,nsga-iii,4.419900702527729e-05,0.1001654257238947,0.23076923076923078,0.0
2,moead,2.618827684209449e-05,0.11752113552609686,0.0,0.0
3,random search,0.0016268084166149832,0.017034282483528736,0.46527777777777773,0.011560693641618497
3,sway,0.0013943437594348275,0.014524650799292382,0.34027777777777773,0.05202312138728324
3,tpe,0.0009086623247480813,0.4736926629685448,0.013888888888888885,0.0
3,nsga-ii,0.0018336268372057644,0.00022353008061313446,0.9375,0.2832369942196532
3,nsga-iii,0.0016637428811899647,0.005888004997212879,0.6875,0.05202312138728324
3,moead,0.0015679028898549652,0.007130167390164989,0.47916666666666663,0.03468208092485549
4,random search,0.0005628890400422182,0.08061436233239123,0.044117647058823525,0.0
4,sway,0.00024121405735717984,0.03878894639236291,0.0,0.0
4,tpe,0.00017221890184667386,0.2990637938762827,0.0,0.0
4,nsga-ii,0.0008902406336313938,3.340013360026984e-05,1.0,0.27358490566037735
4,nsga-iii,0.0006352252518950954,0.046877693706567,0.10294117647058823,0.0
4,moead,0.0002653900136650139,0.059641901554688063,0.0,0.0
5,random search,5.421322725913668e-05,0.33344203280290474,0.08928571428571427,0.0
5,sway,6.615635931956922e-05,0.31110132304306315,0.05357142857142857,0.0
5,tpe,8.55461151254219e-08,0.7046180610545975,0.0,0.0
5,nsga-ii,0.00011576105378288947,0.0003627898370390242,0.9821428571428571,0.40476190476190477
