Iteration,PT,HV+,GD-,DCI+,UNFR+
0,random search,6617918294.0752125,0.09865262182336285,0.14999999999999997,0.0
0,sway,3242949700.1082535,0.22515405701573174,0.0,0.0
0,tpe,9271873116.848713,0.014204217126079409,0.6749999999999999,0.0
0,nsga-ii,9066166607.839756,0.019009717391048023,0.7999999999999999,0.01818181818181818
0,nsga-iii,8946024543.22241,0.042591117609432745,0.7749999999999999,0.0
0,moead,10175277584.956198,0.008803704670677029,0.925,0.10909090909090909
1,random search,9324099018.29474,0.27330907516780445,0.37142857142857144,0.020833333333333332
1,sway,5811475285.508222,0.2429535521309439,0.0,0.0
1,tpe,10376456562.856037,0.038118876086960796,0.8857142857142856,0.0625
1,nsga-ii,9917413262.434282,0.08336506368631887,0.8285714285714285,0.0625
1,nsga-iii,10442492932.519413,0.11168473912084033,0.9142857142857143,0.10416666666666667
1,moead,10319634836.766869,0.05356393079454689,0.8285714285714285,0.0625
2,random search,2108322827.7627256,0.16871169617978665,0.0,0.0
2,sway,2337367292.935143,0.29863167711062083,0.0,0.0
2,tpe,4476791933.378396,0.04693220365933937,0.7142857142857142,0.0196078431372549
2,nsga-ii,4009055502.983735,0.06550069834654253,0.7428571428571429,0.0
2,nsga-iii,4110750405.4738016,0.05283432307986278,0.8857142857142856,0.0392156862745098
2,moead,4678001685.250273,0.026312916966697335,0.9428571428571427,0.11764705882352941
3,random search,1962900591.762523,0.15418964435185953,0.0,0.0
3,sway,2638288104.2947664,0.44798138840015944,0.3142857142857142,0.0
3,tpe,3054071177.9877644,0.07108691468879472,0.6857142857142856,0.0
3,nsga-ii,3469258929.710976,0.0414029017109296,0.7714285714285714,0.0847457627118644
3,nsga-iii,3146094737.4047713,0.04002584195989483,0.45714285714285713,0.03389830508474576
3,moead,3465887440.2336726,0.04073374153015072,0.7142857142857142,0.03389830508474576
4,random search,12108824827.753225,0.07708270651021927,0.2,0.021739130434782608
4,sway,3829788235.5027056,0.18342898235035737,0.0,0.0
4,tpe,12874319290.102629,0.13968105387491533,0.7,0.021739130434782608
4,nsga-ii,13140858540.479618,0.02338554975630399,0.72,0.0
4,nsga-iii,13526097450.925821,0.01829334474476214,0.82,0.021739130434782608
4,moead,14735292180.356806,0.0,0.64,0.08695652173913043
5,random search,26211509357.19613,0.07313880040273134,0.3,0.0
5,sway,20683180729.594738,0.19555579618311503,0.0,0.0
5,tpe,40942626931.11467,0.010305531889410031,0.7999999999999999,0.047619047619047616
5,nsga-ii,40648605266.44367,0.006822678327932757,0.75,0.023809523809523808
5,nsga-iii,37901342383.961845,0.009780306851207211,0.625,0.023809523809523808
5,moead,42204215220.415215,0.0033785531902655085,0.5750000000000001,0.047619047619047616
6,random search,17900517596.472942,0.19469580403369763,0.4,0.0
6,sway,14035496665.606617,0.40164935785066835,0.31111111111111106,0.0
6,tpe,16974101095.603634,0.022025721403610567,0.6222222222222221,0.020833333333333332
6,nsga-ii,21090979440.171085,0.030712934279630615,0.6444444444444443,0.0625
6,nsga-iii,20809052310.91166,0.017978067145411742,0.7777777777777777,0.0625
6,moead,21121713728.304157,0.029879682866251367,0.7999999999999998,0.10416666666666667
7,random search,12894417861.17834,0.17073946559712072,0.39999999999999997,0.020833333333333332
7,sway,7019739120.187372,0.18709675642008522,0.05714285714285716,0.0
7,tpe,14021986530.439753,0.0741763213685557,0.8857142857142857,0.020833333333333332
7,nsga-ii,14029438354.736538,0.03445209789535069,0.9714285714285713,0.0625
7,nsga-iii,14062940788.83442,0.0451302180270895,0.8571428571428571,0.020833333333333332
