pt,m,val,rank
default,Delta+,0.235264989089476,3.0
default,Delta+,0.235264989089476,2.0
default,Delta+,0.246262515471159,3.0
default,Delta+,0.246262515471159,2.0
default,Delta+,0.227709242228826,3.0
default,Delta+,0.227709242228826,2.0
default,Delta+,0.210162428871929,3.0
default,Delta+,0.210162428871929,2.0
default,Delta+,0.220725639638924,3.0
default,Delta+,0.220725639638924,2.0
default,Delta+,0.252944984293877,3.0
default,Delta+,0.252944984293877,2.0
default,Delta+,0.255998347889824,3.0
default,Delta+,0.255998347889824,2.0
default,Delta+,0.220348210973463,3.0
default,Delta+,0.220348210973463,2.0
default,Delta+,0.254075503556718,3.0
default,Delta+,0.254075503556718,2.0
default,Delta+,0.208324341321757,3.0
default,Delta+,0.208324341321757,2.0
default,Delta+,0.256536719621059,3.0
default,Delta+,0.256536719621059,2.0
default,Delta+,0.243501590026527,3.0
default,Delta+,0.243501590026527,2.0
default,Delta+,0.267716461256594,3.0
default,Delta+,0.267716461256594,2.0
default,Delta+,0.234631691859517,3.0
default,Delta+,0.234631691859517,2.0
default,Delta+,0.24279006040048,3.0
default,Delta+,0.24279006040048,2.0
default,Delta+,0.247607312451737,3.0
default,Delta+,0.247607312451737,2.0
default,Delta+,0.239475213826484,3.0
default,Delta+,0.239475213826484,2.0
default,Delta+,0.230179932675575,3.0
default,Delta+,0.230179932675575,2.0
default,Delta+,0.236981511607655,3.0
default,Delta+,0.236981511607655,2.0
default,Delta+,0.240290117877744,3.0
default,Delta+,0.240290117877744,2.0
default,Delta+,0.236623632596201,3.0
default,Delta+,0.236623632596201,2.0
default,Duration?,0.256955623626709,
default,Duration?,0.254552364349365,
default,Duration?,0.239747047424316,
default,Duration?,0.240862607955933,
default,Duration?,0.240598917007446,
default,Duration?,0.239886522293091,
default,Duration?,0.238521575927734,
default,Duration?,0.255411624908447,
default,Duration?,0.242501735687256,
default,Duration?,0.253156900405884,
default,Duration?,0.255810499191284,
default,Duration?,0.242183208465576,
default,Duration?,0.243868112564087,
default,Duration?,0.238916635513306,
default,Duration?,0.256249666213989,
default,Duration?,0.240922451019287,
default,Duration?,0.256191253662109,
default,Duration?,0.241894245147705,
default,Duration?,0.237610101699829,
default,Duration?,0.23848557472229,
default,Duration?,0.256999015808105,
default,Iteration,0.0,
default,Iteration,1.0,
default,Iteration,2.0,
default,Iteration,3.0,
default,Iteration,4.0,
default,Iteration,5.0,
default,Iteration,6.0,
default,Iteration,7.0,
default,Iteration,8.0,
default,Iteration,9.0,
default,Iteration,10.0,
default,Iteration,11.0,
default,Iteration,12.0,
default,Iteration,13.0,
default,Iteration,14.0,
default,Iteration,15.0,
default,Iteration,16.0,
default,Iteration,17.0,
default,Iteration,18.0,
default,Iteration,19.0,
default,Iteration,20.0,
default,MAR-,3672.54075283417,2.0
default,MAR-,3672.54075283417,1.0
default,MAR-,2733.24312836246,2.0
default,MAR-,2733.24312836246,1.0
default,MAR-,2917.53483418162,2.0
default,MAR-,2917.53483418162,1.0
default,MAR-,3010.50514856293,2.0
default,MAR-,3010.50514856293,1.0
default,MAR-,3378.11661530946,2.0
default,MAR-,3378.11661530946,1.0
default,MAR-,3020.27010324956,2.0
default,MAR-,3020.27010324956,1.0
default,MAR-,3042.24008242968,2.0
default,MAR-,3042.24008242968,1.0
default,MAR-,3619.51513031581,2.0
default,MAR-,3619.51513031581,1.0
