pt,m,val,rank
default,Delta+,0.171190135928126,3.0
default,Delta+,0.171190135928126,2.0
default,Delta+,0.234016263920443,3.0
default,Delta+,0.234016263920443,2.0
default,Delta+,0.239770593118442,3.0
default,Delta+,0.239770593118442,2.0
default,Delta+,0.283652197469568,3.0
default,Delta+,0.283652197469568,2.0
default,Delta+,0.249065454115213,3.0
default,Delta+,0.249065454115213,2.0
default,Delta+,0.252471450828538,3.0
default,Delta+,0.252471450828538,2.0
default,Delta+,0.307927443819506,3.0
default,Delta+,0.307927443819506,2.0
default,Delta+,0.289537248786736,3.0
default,Delta+,0.289537248786736,2.0
default,Delta+,0.298141612295697,3.0
default,Delta+,0.298141612295697,2.0
default,Delta+,0.291709317931225,3.0
default,Delta+,0.291709317931225,2.0
default,Delta+,0.303444771071205,3.0
default,Delta+,0.303444771071205,2.0
default,Delta+,0.209034569849467,3.0
default,Delta+,0.209034569849467,2.0
default,Delta+,0.312591872611989,3.0
default,Delta+,0.312591872611989,2.0
default,Delta+,0.26114485306872,3.0
default,Delta+,0.26114485306872,2.0
default,Delta+,0.289170883741419,3.0
default,Delta+,0.289170883741419,2.0
default,Delta+,0.299669587048535,3.0
default,Delta+,0.299669587048535,2.0
default,Delta+,0.300231929696654,3.0
default,Delta+,0.300231929696654,2.0
default,Delta+,0.2849626865522,3.0
default,Delta+,0.2849626865522,2.0
default,Delta+,0.285014076040584,3.0
default,Delta+,0.285014076040584,2.0
default,Delta+,0.309569961281683,3.0
default,Delta+,0.309569961281683,2.0
default,Delta+,0.310486707933659,3.0
default,Delta+,0.310486707933659,2.0
default,Duration,0.503422021865845,1.0
default,Duration,0.492000579833984,1.0
default,Duration,0.487000703811646,1.0
default,Duration,0.4739990234375,1.0
default,Duration,0.482999801635742,1.0
default,Duration,0.484008073806763,1.0
default,Duration,0.490339994430542,1.0
default,Duration,0.485999345779419,1.0
default,Duration,0.495999097824097,1.0
default,Duration,0.470999717712402,1.0
default,Duration,0.479998350143433,1.0
default,Duration,0.5,1.0
default,Duration,0.47100043296814,1.0
default,Duration,0.478003025054932,1.0
default,Duration,0.50999903678894,1.0
default,Duration,0.476999998092651,1.0
default,Duration,0.597859144210815,1.0
default,Duration,0.476999044418335,1.0
