DS,Iteration,PP,DT,AS,LA,PT,PT scoring,Duration,Params,mar,sa,sd,sdar,Models built,Best params
effort/china.csv,0,none,log,none,rf,default,None,2.7309999465942383,"{'la__n_estimators': 100, 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.0, 'la__max_depth': None}",3274.706586826347,0.45505398342282954,0.40134873833331164,3274.706586826347,,
effort/china.csv,0,none,log,none,rf,random search,"['sa', 'sd']",59.80042123794556,,3089.896371467655,0.48580836950665035,0.36223255943611826,3089.896371467655,320.0,pareto front
effort/china.csv,0,none,log,none,rf,tpe,"['sa', 'sd']",469.3287196159363,,3149.261396581837,0.4759293977263634,0.3571416134958535,3149.261396581837,1280.0,pareto front
effort/china.csv,0,none,log,none,rf,nsga-ii,"['sa', 'sd']",602.7536070346832,,3152.7517401179566,0.4753485674272014,0.36090257589179864,3152.7517401179566,1000.0,pareto front
effort/china.csv,0,none,log,none,rf,nsga-iii,"['sa', 'sd']",367.2434937953949,,3167.55002910845,0.4728859746960026,0.35988867814219583,3167.55002910845,1000.0,pareto front
effort/china.csv,0,none,log,none,rf,moead,"['sa', 'sd']",80.76105260848999,,3103.302411842981,0.483577461757542,0.36808208331605785,3103.302411842981,500.0,pareto front
effort/china.csv,1,none,log,none,rf,default,None,2.5639994144439697,"{'la__n_estimators': 100, 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.0, 'la__max_depth': None}",2752.735542168675,0.4988798639769615,0.501408077004246,2752.735542168675,,
effort/china.csv,1,none,log,none,rf,random search,"['sa', 'sd']",150.9295470714569,,2824.4359369383046,0.485827207436059,0.4273022109410177,2824.4359369383046,320.0,pareto front
effort/china.csv,1,none,log,none,rf,tpe,"['sa', 'sd']",1483.966338634491,,2795.423888962443,0.49110868878624964,0.43638961253507724,2795.423888962443,1280.0,pareto front
effort/china.csv,1,none,log,none,rf,nsga-ii,"['sa', 'sd']",1270.994999885559,,2786.807299076061,0.4926772908658074,0.443000546818638,2786.807299076061,1000.0,pareto front
effort/china.csv,1,none,log,none,rf,nsga-iii,"['sa', 'sd']",548.610630273819,,2775.289026156484,0.4947741281405067,0.43999401832679635,2775.289026156484,1000.0,pareto front
effort/china.csv,1,none,log,none,rf,moead,"['sa', 'sd']",246.86311984062195,,2813.3548770424163,0.48784445252090014,0.4279511102124163,2813.3548770424163,500.0,pareto front
effort/china.csv,2,none,log,none,rf,default,None,2.7586278915405273,"{'la__n_estimators': 100, 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.0, 'la__max_depth': None}",2359.991686746988,0.24097180782448346,0.34484100489791725,2359.991686746988,,
effort/china.csv,2,none,log,none,rf,random search,"['sa', 'sd']",92.59424471855164,,2080.296394569577,0.33092831621966884,0.3740386084966085,2080.296394569577,320.0,pareto front
effort/china.csv,2,none,log,none,rf,tpe,"['sa', 'sd']",387.78229093551636,,2014.3811495983937,0.35212819141763924,0.35481361214798063,2014.3811495983937,1280.0,pareto front
effort/china.csv,2,none,log,none,rf,nsga-ii,"['sa', 'sd']",1863.5853517055511,,2053.7742462717542,0.339458455706243,0.373201176056214,2053.7742462717542,1000.0,pareto front
effort/china.csv,2,none,log,none,rf,nsga-iii,"['sa', 'sd']",407.76774406433105,,2054.127350512564,0.3393448891733368,0.37328374661319563,2054.127350512564,1000.0,pareto front
effort/china.csv,2,none,log,none,rf,moead,"['sa', 'sd']",253.47587990760803,,2186.1863983862413,0.29687162923311083,0.3491463560879743,2186.1863983862413,500.0,pareto front
effort/china.csv,3,none,log,none,rf,default,None,2.8201210498809814,"{'la__n_estimators': 100, 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.0, 'la__max_depth': None}",2230.355119760479,0.45335594008398106,0.4274437320599227,2230.355119760479,,
effort/china.csv,3,none,log,none,rf,random search,"['sa', 'sd']",91.85120344161987,,2096.2489015118804,0.48622441333915956,0.4108773477751898,2096.2489015118804,320.0,pareto front
effort/china.csv,3,none,log,none,rf,tpe,"['sa', 'sd']",410.63921904563904,,2113.665194610778,0.4819558046840089,0.4089667369515492,2113.665194610778,1280.0,pareto front
