ds,pt,m,rank,q0,q1,q2,q3,q4
china,tpe,DCI+,1,0.0,0.0,0.0,0.0,0.15
china,moead,DCI+,1,0.0,0.0,0.0,0.1111111111111111,0.59375
china,random,DCI+,2,0.0,0.0,0.0441176470588235,0.1416666666666666,0.55
china,sway,DCI+,2,0.0,0.0,0.0535714285714285,0.1785714285714285,0.7261904761904762
china,nsga-iii,DCI+,3,0.0,0.125,0.2794117647058823,0.421875,0.7222222222222222
china,nsga-ii,DCI+,4,0.2222222222222222,0.875,0.9666666666666668,1.0,1.0
china,nsga-ii,GD-,1,0.0,3.670519301767222e-05,0.0011819844200756,0.0031908864261624,0.0423055293754092
china,nsga-iii,GD-,2,0.0,0.0181033722288462,0.046877693706567,0.1001654257238947,0.3563473930360022
china,sway,GD-,3,0.0040558951491126,0.0428853875539056,0.0765134200152751,0.1391972804347338,0.6689202397858411
china,random,GD-,4,0.0,0.0649242152487947,0.1112869740932986,0.2047394168546297,0.643062085191788
china,moead,GD-,4,0.0,0.0634270348807731,0.1175211355260968,0.2199805542887468,0.7574084757012856
china,tpe,GD-,5,0.0,0.356797663628268,0.4736926629685448,0.6991373226015093,1.4486391338180564
china,tpe,HV+,1,0.0,0.0,1.360088764211272e-07,1.155567261627945e-05,0.000908662324748
china,moead,HV+,2,0.0,2.2810687607966425e-05,7.470536681432438e-05,0.0003990245401289,0.0021406414205885
china,sway,HV+,3,7.407055530605603e-08,4.2483615840839214e-05,9.265475968856604e-05,0.0006616068029956,0.0022147274860062
china,random,HV+,3,2.770851907921029e-06,4.5969168321969305e-05,0.000133324829489,0.0006654937247667,0.0020058630897568
china,nsga-iii,HV+,4,2.0693904403013736e-05,8.872564039103685e-05,0.0001632530862642,0.0007604240739797,0.0023025868514273
china,nsga-ii,HV+,5,5.3005204389190175e-05,0.0001182341749361,0.0002613092383095,0.0010160608427826,0.0027673890060638
china,random,UNFR+,1,0.0,0.0,0.0,0.0,0.0588235294117647
china,sway,UNFR+,1,0.0,0.0,0.0,0.0175438596491228,0.1066666666666666
china,tpe,UNFR+,1,0.0,0.0,0.0,0.0,0.0204081632653061
china,moead,UNFR+,1,0.0,0.0,0.0,0.0,0.1166666666666666
china,nsga-iii,UNFR+,2,0.0,0.0,0.0161290322580645,0.0520231213872832,0.1929824561403508
china,nsga-ii,UNFR+,3,0.0512820512820512,0.2741935483870967,0.4047619047619047,0.5,0.6956521739130435
flight,sway,DCI+,1,0.0,0.0,0.0,0.1199999999999999,0.65
flight,random,DCI+,2,0.0,0.2,0.4333333333333332,0.5333333333333332,0.6400000000000001
flight,tpe,DCI+,3,0.3555555555555555,0.6400000000000001,0.7142857142857141,0.7999999999999999,0.92
flight,moead,DCI+,3,0.24,0.6,0.7272727272727273,0.92,0.95
flight,nsga-ii,DCI+,3,0.3,0.6333333333333333,0.7666666666666666,0.857142857142857,0.96
flight,nsga-iii,DCI+,4,0.4444444444444444,0.6333333333333333,0.8500000000000001,0.8800000000000001,0.9666666666666666
flight,moead,GD-,1,0.0,0.0151203707830758,0.0361509575729311,0.0581490961431386,0.4068805823042672
flight,nsga-iii,GD-,1,0.0048837113269543,0.0215973752199471,0.0454207429823412,0.0841156711043728,0.1895187207573646
flight,tpe,GD-,2,0.0100025189808537,0.0296792821725978,0.0488773845923948,0.1064846157457131,0.2774457990617793
