ds,pp,pt,m,val,rank
adult,fairsmote,de,accuracy,0.778585320913092,3.0
adult,fairsmote,de,accuracy,0.793428191217115,3.0
adult,fairsmote,de,accuracy,0.781224406224406,3.0
adult,fairsmote,de,accuracy,0.781838656838657,3.0
adult,fairsmote,de,accuracy,0.769348894348894,3.0
adult,fairsmote,de,accuracy,0.775104923738356,3.0
adult,fairsmote,de,accuracy,0.778585320913092,3.0
adult,fairsmote,de,accuracy,0.783681408681409,3.0
adult,fairsmote,de,accuracy,0.776719901719902,3.0
adult,fairsmote,de,accuracy,0.791359541359541,3.0
adult,fairsmote,de,accuracy,0.779097144027024,3.0
adult,fairsmote,de,accuracy,0.778994779404238,3.0
adult,fairsmote,de,accuracy,0.781122031122031,3.0
adult,fairsmote,de,accuracy,0.777231777231777,3.0
adult,fairsmote,de,accuracy,0.786036036036036,3.0
adult,fairsmote,de,accuracy,0.785239021394206,3.0
adult,fairsmote,de,accuracy,0.778278227044733,3.0
adult,fairsmote,de,accuracy,0.784295659295659,3.0
adult,fairsmote,de,accuracy,0.788288288288288,3.0
adult,fairsmote,de,accuracy,0.776924651924652,3.0
adult,fairsmote,de,accuracy,0.771419797318047,3.0
adult,fairsmote,de,accuracy,0.783908281297983,3.0
adult,fairsmote,de,accuracy,0.762694512694513,3.0
adult,fairsmote,de,accuracy,0.776924651924652,3.0
adult,fairsmote,de,accuracy,0.787162162162162,3.0
adult,fairsmote,de,accuracy,0.78738867847272,3.0
adult,fairsmote,de,accuracy,0.776333299211792,3.0
adult,fairsmote,de,accuracy,0.782555282555282,3.0
adult,fairsmote,de,accuracy,0.781633906633907,3.0
adult,fairsmote,de,accuracy,0.769963144963145,3.0
adult,fairsmote,de,accuracy,0.778073497799161,3.0
adult,fairsmote,de,accuracy,0.245060906950558,3.0
adult,fairsmote,de,accuracy,0.783067158067158,3.0
adult,fairsmote,de,accuracy,0.775696150696151,3.0
adult,fairsmote,de,accuracy,0.783783783783784,3.0
adult,fairsmote,de,accuracy,0.783294093561265,3.0
adult,fairsmote,de,accuracy,0.772648172791483,3.0
adult,fairsmote,de,accuracy,0.782248157248157,3.0
adult,fairsmote,de,accuracy,0.237817362817363,3.0
adult,fairsmote,de,accuracy,0.786547911547912,3.0
adult,fairsmote,de,accuracy,0.783089364315693,3.0
adult,fairsmote,de,accuracy,0.790050158665165,3.0
adult,fairsmote,de,accuracy,0.781224406224406,3.0
adult,fairsmote,de,accuracy,0.766584766584767,3.0
adult,fairsmote,de,accuracy,0.776719901719902,3.0
adult,fairsmote,de,accuracy,0.783498822806838,3.0
adult,fairsmote,de,accuracy,0.781553894973897,3.0
adult,fairsmote,de,accuracy,0.779279279279279,3.0
adult,fairsmote,de,accuracy,0.782145782145782,3.0
adult,fairsmote,de,accuracy,0.777231777231777,3.0
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-age,,
adult,fairsmote,de,aod-race,0.026128083741709,1.0
adult,fairsmote,de,aod-race,0.015528757651219,1.0
adult,fairsmote,de,aod-race,0.031769169367288,1.0
adult,fairsmote,de,aod-race,0.019118526846965,1.0
adult,fairsmote,de,aod-race,0.027079058408845,1.0
adult,fairsmote,de,aod-race,0.040372181700305,1.0
adult,fairsmote,de,aod-race,0.038001163405343,1.0
adult,fairsmote,de,aod-race,0.005733087740103,1.0
adult,fairsmote,de,aod-race,0.013327386766415,1.0
adult,fairsmote,de,aod-race,0.055573529166148,1.0
adult,fairsmote,de,aod-race,0.010363462928684,1.0
adult,fairsmote,de,aod-race,0.028514394256149,1.0
adult,fairsmote,de,aod-race,0.013757048472951,1.0
adult,fairsmote,de,aod-race,0.043996820551905,1.0
adult,fairsmote,de,aod-race,0.009136908643845,1.0
adult,fairsmote,de,aod-race,0.010322284303765,1.0
adult,fairsmote,de,aod-race,0.026443220384894,1.0
adult,fairsmote,de,aod-race,0.040671504039306,1.0
adult,fairsmote,de,aod-race,0.024599760285806,1.0
adult,fairsmote,de,aod-race,0.01740785341516,1.0
