ds,pp,pt,m,rank,q0,q1,q2,q3,q4
adult,fairsmote,default,accuracy,5,0.765175555328079,0.769963144963145,0.772420147420147,0.776822276822277,0.787366912366912
adult,fairsmote,random,accuracy,4,0.763230627495138,0.774160524160524,0.778767403767404,0.781656259596683,0.794430794430794
adult,fairsmote,de,accuracy,3,0.237817362817363,0.776719901719902,0.781224406224406,0.783681408681409,0.793428191217115
adult,none,random,accuracy,2,0.799467703961511,0.815622440622441,0.835602415805098,0.843980343980344,0.852185484696489
adult,none,default,accuracy,1,0.831695331695332,0.836728426655748,0.839271089271089,0.841027740812775,0.84737434742553
adult,none,de,accuracy,1,0.75442726993551,0.827003787491043,0.840601965601966,0.84490171990172,0.848177723177723
adult,fairsmote,de,aod-race,1,0.0,0.013327386766415,0.026128083741709,0.037151552857883,0.078246068364548
adult,fairsmote,random,aod-race,1,0.000329692776352,0.012017277623223,0.031402323662427,0.043503515141256,0.070050889217232
adult,none,de,aod-race,2,0.0,0.022831010411947,0.036551774945224,0.062462919124759,0.099522895023355
adult,none,random,aod-race,2,0.000552102523211,0.015971744056125,0.037739569374521,0.057941312964985,0.089793588824582
adult,fairsmote,default,aod-race,3,0.003765890025133,0.029770166642479,0.044405201753181,0.060135995218988,0.093677400794982
adult,none,default,aod-race,4,0.025780539059142,0.046927819173892,0.061526898874652,0.071951192934166,0.101341476403112
adult,fairsmote,de,aod-sex,1,0.0,0.03870280631501,0.055243826113671,0.075154572296716,0.099899578768731
adult,fairsmote,random,aod-sex,1,0.006434550886039,0.043519783762647,0.060147039430321,0.073984578790124,0.100089450838724
adult,fairsmote,default,aod-sex,2,0.016213364804306,0.065397106615605,0.084230892653991,0.098362440851804,0.12482863113421
adult,none,random,aod-sex,3,0.001318904248505,0.024177071010256,0.133519324340636,0.153074944370953,0.188924052054262
adult,none,de,aod-sex,3,0.0,0.056230325840384,0.139566826329405,0.160238905383353,0.195388282687367
adult,none,default,aod-sex,4,0.113342138630221,0.141688504142669,0.152512993110711,0.161445656696381,0.18108889807931
adult,none,default,d2h1,1,0.331886910025072,0.341878077297326,0.347380143958128,0.350463280923076,0.358742417761856
adult,fairsmote,de,d2h1,2,0.332705160958614,0.341928971587856,0.347896895737696,0.353563007622982,0.874115823890818
adult,fairsmote,random,d2h1,3,0.336387900671699,0.344968600561664,0.348991819146493,0.354424624930056,0.365972483440631
adult,fairsmote,default,d2h1,4,0.343589477973433,0.352837466703081,0.35698396729716,0.360237329027792,0.369202613088363
adult,none,de,d2h1,5,0.335486203812075,0.35116709355219,0.363356684258494,0.462711082731893,0.874686510378336
adult,none,random,d2h1,5,0.335124834382538,0.35687356655909,0.38502405842116,0.503122138849935,0.540221078124347
adult,fairsmote,random,d2h2,1,0.104985672733517,0.151829614369724,0.167665093321831,0.180177472676726,0.195350138234068
adult,fairsmote,de,d2h2,1,0.0,0.143489090278475,0.168302072172473,0.179765103562511,0.447213595499958
adult,fairsmote,default,d2h2,2,0.143727380356123,0.176363240525222,0.19026744062345,0.196530322298688,0.211515600796097
adult,none,default,d2h2,3,0.285015000702429,0.306018658209018,0.314226178056959,0.323150764827639,0.338248038780943
adult,none,de,d2h2,3,0.217776358428317,0.303639276246616,0.32115483344428,0.334961741616614,0.447213595499958
adult,none,random,d2h2,3,0.190606569642195,0.258452878197433,0.32229132216913,0.328623461172266,0.359645749967783
adult,fairsmote,de,d2h3,1,0.208553297890712,0.224463654291398,0.233408398861907,0.240088390845599,0.600970280600184
adult,fairsmote,random,d2h3,1,0.209649728184534,0.226588620495581,0.233814998917423,0.240008094255993,0.251294366958061
adult,fairsmote,default,d2h3,2,0.229239200942745,0.241658009961294,0.24796078606996,0.252324468920064,0.262738964314103
