DS,Iteration,PP,DT,AS,LA,PT,PT scoring,Duration,Params,sa,sd
effort/china.csv,0,none,log,none,rf,random search,"['sa', 'sd']",0.283005952835083,"{'la__n_estimators': 17, 'la__min_samples_leaf': 8, 'la__min_impurity_decrease': 0.020439257575167985, 'la__max_depth': 6}",0.46268149295649463,0.4517123770295782
effort/china.csv,0,none,log,none,rf,random search,"['sa', 'sd']",0.7739992141723633,"{'la__n_estimators': 17, 'la__min_samples_leaf': 8, 'la__min_impurity_decrease': 0.020439257575167985, 'la__max_depth': 6}",0.45641203796970065,0.45807715857319187
effort/china.csv,0,none,log,none,rf,random search,"['sa', 'sd']",1.6959974765777588,"{'la__n_estimators': 17, 'la__min_samples_leaf': 8, 'la__min_impurity_decrease': 0.020439257575167985, 'la__max_depth': 6}",0.450308244500022,0.4583775579274601
effort/china.csv,0,none,log,none,rf,tpe,"['sa', 'sd']",1.6930062770843506,"{'la__max_depth': 2, 'la__min_impurity_decrease': 0.001, 'la__min_samples_leaf': 7, 'la__n_estimators': 30}",0.4523212117480087,0.46052608418309093
effort/china.csv,0,none,log,none,rf,tpe,"['sa', 'sd']",1.434220552444458,"{'la__max_depth': 2, 'la__min_impurity_decrease': 0.001, 'la__min_samples_leaf': 7, 'la__n_estimators': 30}",0.45396522002450157,0.455850378264131
effort/china.csv,0,none,log,none,rf,tpe,"['sa', 'sd']",1.9609944820404053,"{'la__max_depth': 2, 'la__min_impurity_decrease': 0.001, 'la__min_samples_leaf': 7, 'la__n_estimators': 30}",0.45722387668152853,0.4594567492351823
effort/china.csv,0,none,log,none,rf,tpe,"['sa', 'sd']",0.2330024242401123,"{'la__max_depth': 2, 'la__min_impurity_decrease': 0.001, 'la__min_samples_leaf': 7, 'la__n_estimators': 30}",0.47438184323182037,0.458949299507153
effort/china.csv,0,none,log,none,rf,nsga-ii,"['sa', 'sd']",0.3419973850250244,"{'la__n_estimators': 43, 'la__min_samples_leaf': 3, 'la__min_impurity_decrease': 0.2699774633778644, 'la__max_depth': 2}",0.460419135333139,0.42732763758605363
effort/china.csv,0,none,log,none,rf,nsga-ii,"['sa', 'sd']",0.6100032329559326,"{'la__n_estimators': 43, 'la__min_samples_leaf': 3, 'la__min_impurity_decrease': 0.2699774633778644, 'la__max_depth': 2}",0.45207562369326537,0.45945427064588673
effort/china.csv,0,none,log,none,rf,nsga-ii,"['sa', 'sd']",0.7350072860717773,"{'la__n_estimators': 43, 'la__min_samples_leaf': 3, 'la__min_impurity_decrease': 0.2699774633778644, 'la__max_depth': 2}",0.4577338325445973,0.4367651830047764
