DS,Iteration,PP,DT,AS,LA,PT,PT scoring,Duration,Params,mar,sa,sdar,sd,effect size,mmre,pred25,Models built,Best params
effort/china.csv,0,none,minmax,none,svr,default,None,0.256955623626709,"{'la__kernel': 'rbf', 'la__degree': 3, 'la__coef0': 0.0, 'la__gamma': 'scale', 'la__C': 1.0, 'la__epsilon': 0.1}",3672.54075283417,0.372828862499278,7349.12225616166,0.204544686670323,0.235264989089476,1.35040574961023,0.143712574850299,,
effort/china.csv,0,none,minmax,none,svr,random search,"['sa', 'sd', 'effect size', 'pred25']",10.8616716861725,,2967.66098006888,0.493203360330323,5802.47414288103,0.370737162263209,0.314779649438448,0.965942594899244,0.209580838323353,192,pareto front
effort/china.csv,0,none,minmax,none,svr,sway,"['sa', 'sd', 'effect size', 'pred25']",66.3801481723785,,2919.91523232972,0.501357049270952,5572.92456155072,0.396024014754762,0.317141362355619,0.981971807173365,0.191616766467066,66,pareto front
effort/china.csv,0,none,minmax,none,svr,tpe,"['sa', 'sd', 'effect size', 'pred25']",432.071259260178,,2923.4660338435,0.500750667919644,5551.17909328068,0.398771385822304,0.317599923677038,0.98328287235039,0.191616766467066,3072,pareto front
effort/china.csv,0,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'effect size', 'pred25']",417.569502830505,,3837.86429629419,0.344596049908307,7417.80925490173,0.19128926143624,0.218885178253391,1.65252204550767,0.179640718562874,3000,pareto front
effort/china.csv,0,none,minmax,none,svr,nsga-iii,"['sa', 'sd', 'effect size', 'pred25']",398.700423002243,,3081.53335037137,0.473757023633473,5729.72173847933,0.376590402158944,0.301184617856283,1.2199878840584,0.173652694610778,3000,pareto front
effort/china.csv,0,none,minmax,none,svr,moead,"['sa', 'sd', 'effect size', 'pred25']",556.955674886703,,2982.76307935402,0.4906243281494,5778.04393968407,0.374540142850565,0.310687673110507,1.01990757508389,0.215568862275449,4200,pareto front
effort/china.csv,1,none,minmax,none,svr,default,None,0.254552364349365,"{'la__kernel': 'rbf', 'la__degree': 3, 'la__coef0': 0.0, 'la__gamma': 'scale', 'la__C': 1.0, 'la__epsilon': 0.1}",2733.24312836246,0.356111400242359,4755.22272079981,0.226368587078583,0.246262515471159,1.66086498441904,0.150602409638554,,
effort/china.csv,1,none,minmax,none,svr,random search,"['sa', 'sd', 'effect size', 'pred25']",10.332359790802,,2386.79107472416,0.437727457513478,5088.98344338075,0.169268435372708,0.304310876312498,1.13661617801463,0.180722891566265,192,pareto front
effort/china.csv,1,none,minmax,none,svr,sway,"['sa', 'sd', 'effect size', 'pred25']",66.0578231811523,,2114.8503402331,0.50179037856559,3746.78563920199,0.387269044564012,0.347687155695619,1.15875369213907,0.22289156626506,60,pareto front
effort/china.csv,1,none,minmax,none,svr,tpe,"['sa', 'sd', 'effect size', 'pred25']",437.925510883331,,2157.6296163898,0.491712574678571,3657.30488834327,0.402762472519649,0.339452729940449,1.18285980562812,0.204819277108434,3072,pareto front
