DS,Iteration,PP,DT,AS,LA,PT,PT scoring,Duration,Params,sa,sd,effect size,pred25
effort/china.csv,0,none,minmax,none,svr,random search,"['sa', 'sd', 'effect size', 'pred25']",0.015630722045898438,"{'la__degree': 3, 'la__coef0': 0.963569610048087, 'la__gamma': 0.7356685099569412, 'la__C': 8306.480170235802, 'la__epsilon': 0.5956741275289433, 'la__kernel': 'sigmoid'}",0.47501917338726635,0.39801149239922906,0.3151491298201514,0.18675948675948675
effort/china.csv,0,none,minmax,none,svr,sway,"['sa', 'sd', 'effect size', 'pred25']",0.04689788818359375,"{'la__degree': 4, 'la__coef0': 0.9223993209680111, 'la__gamma': 0.9973031288354497, 'la__C': 12085.487789814095, 'la__epsilon': 0.0342927554355088, 'la__kernel': 'rbf'}",0.4685341780243475,0.4008016748611544,0.3119533294830221,0.1898170898170898
effort/china.csv,0,none,minmax,none,svr,tpe,"['sa', 'sd', 'effect size', 'pred25']",0.0,"{'la__C': 15000.0, 'la__coef0': 0.0, 'la__degree': 5, 'la__epsilon': 0.999999, 'la__gamma': 0.999999, 'la__kernel': 'rbf'}",0.46865499653234527,0.4055483517442462,0.3115798704990347,0.1898170898170898
effort/china.csv,0,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'effect size', 'pred25']",0.0,"{'la__kernel': 'sigmoid', 'la__degree': 4, 'la__coef0': 0.7819535398118207, 'la__gamma': 0.7901546872242373, 'la__C': 6561.842744935814, 'la__epsilon': 0.9010826021976845}",0.464267655141078,0.4362935177752945,0.3081427797028611,0.1838656838656839
effort/china.csv,0,none,minmax,none,svr,nsga-iii,"['sa', 'sd', 'effect size', 'pred25']",0.0,"{'la__kernel': 'sigmoid', 'la__degree': 4, 'la__coef0': 0.47049759228259136, 'la__gamma': 0.8347532863119107, 'la__C': 3775.8474648705987, 'la__epsilon': 0.5830180866337847}",0.4718135386953213,0.4274515580611166,0.3121129378953015,0.17780507780507782
effort/china.csv,0,none,minmax,none,svr,moead,"['sa', 'sd', 'effect size', 'pred25']",0.0209958553314209,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.7341713716442262, 'la__gamma': 0.8038929973730335, 'la__C': 6483.052685972243, 'la__epsilon': 0.9789064304887127}",0.47870053520053085,0.41286896745180474,0.31992193076350367,0.17477477477477477
effort/china.csv,1,none,minmax,none,svr,random search,"['sa', 'sd', 'effect size', 'pred25']",0.02699875831604004,"{'la__degree': 4, 'la__coef0': 0.8435502831488464, 'la__gamma': 0.17619183605141595, 'la__C': 14466.720901861456, 'la__epsilon': 0.9745389338358172, 'la__kernel': 'poly'}",0.5166945840238181,0.47315781700416587,0.32030837210713864,0.20120120120120122
effort/china.csv,1,none,minmax,none,svr,sway,"['sa', 'sd', 'effect size', 'pred25']",0.04688072204589844,"{'la__degree': 3, 'la__coef0': 0.3637669533721747, 'la__gamma': 0.2628693533264593, 'la__C': 14905.963715324233, 'la__epsilon': 0.9047709705208428, 'la__kernel': 'sigmoid'}",0.5021999934382676,0.45145756055633474,0.31371382461929076,0.2132132132132132
effort/china.csv,1,none,minmax,none,svr,tpe,"['sa', 'sd', 'effect size', 'pred25']",0.04686284065246582,"{'la__C': 15000.0, 'la__coef0': 0.0, 'la__degree': 3, 'la__epsilon': 0.999999, 'la__gamma': 0.999999, 'la__kernel': 'rbf'}",0.4809541916634181,0.41413230169617216,0.2997992204686635,0.19819819819819817
effort/china.csv,1,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'effect size', 'pred25']",0.0,"{'la__kernel': 'poly', 'la__degree': 3, 'la__coef0': 0.6701398656716367, 'la__gamma': 0.2792172303710204, 'la__C': 12914.71334552694, 'la__epsilon': 0.611354354112271}",0.5216950247434817,0.47818165544617147,0.32514988106004283,0.2132132132132132
effort/china.csv,1,none,minmax,none,svr,nsga-iii,"['sa', 'sd', 'effect size', 'pred25']",0.0,"{'la__kernel': 'poly', 'la__degree': 3, 'la__coef0': 0.8995144322115549, 'la__gamma': 0.3851119446034469, 'la__C': 4338.186110768271, 'la__epsilon': 0.05571492695411007}",0.5198508401700698,0.4746261734432031,0.323387321359145,0.21621621621621623
effort/china.csv,1,none,minmax,none,svr,moead,"['sa', 'sd', 'effect size', 'pred25']",0.0,"{'la__kernel': 'sigmoid', 'la__degree': 4, 'la__coef0': 0.1655035835306237, 'la__gamma': 0.2922535798269237, 'la__C': 13430.815099824671, 'la__epsilon': 0.8088122456774098}",0.5104735050089098,0.4724708825244031,0.3191699756108856,0.21021021021021022
effort/china.csv,2,none,minmax,none,svr,random search,"['sa', 'sd', 'effect size', 'pred25']",0.015625953674316406,"{'la__degree': 3, 'la__coef0': 0.12895526796124585, 'la__gamma': 0.33809627007041876, 'la__C': 11157.461643756398, 'la__epsilon': 0.5325175548113293, 'la__kernel': 'sigmoid'}",0.525325215018935,0.440925562992323,0.3414672236399803,0.22822822822822822
