Iteration,PT,Params?,SA+,SD+,Pred25+
0,random search,"{'la__degree': 3, 'la__coef0': 0.16772699243007183, 'la__gamma': 0.005997328574886847, 'la__C': 6270.914354241156, 'la__epsilon': 0.3274564432998091, 'la__kernel': 'sigmoid'}",-0.397545760877197,0.300920665799913,0.04
0,random search,"{'la__degree': 3, 'la__coef0': 0.16772699243007183, 'la__gamma': 0.005997328574886847, 'la__C': 6270.914354241156, 'la__epsilon': 0.3274564432998091, 'la__kernel': 'sigmoid'}",-0.490795924034498,0.324913073374429,0.04
0,random search,"{'la__degree': 3, 'la__coef0': 0.16772699243007183, 'la__gamma': 0.005997328574886847, 'la__C': 6270.914354241156, 'la__epsilon': 0.3274564432998091, 'la__kernel': 'sigmoid'}",-0.351644724782837,0.291446354397186,0.04
0,random search,"{'la__degree': 3, 'la__coef0': 0.16772699243007183, 'la__gamma': 0.005997328574886847, 'la__C': 6270.914354241156, 'la__epsilon': 0.3274564432998091, 'la__kernel': 'sigmoid'}",0.255309011825793,0.277407223105883,0.14
0,random search,"{'la__degree': 3, 'la__coef0': 0.16772699243007183, 'la__gamma': 0.005997328574886847, 'la__C': 6270.914354241156, 'la__epsilon': 0.3274564432998091, 'la__kernel': 'sigmoid'}",-0.468995171906024,0.310662170105207,0.08
0,random search,"{'la__degree': 3, 'la__coef0': 0.16772699243007183, 'la__gamma': 0.005997328574886847, 'la__C': 6270.914354241156, 'la__epsilon': 0.3274564432998091, 'la__kernel': 'sigmoid'}",0.26889718809567,0.26947122640808,0.14
0,random search,"{'la__degree': 3, 'la__coef0': 0.16772699243007183, 'la__gamma': 0.005997328574886847, 'la__C': 6270.914354241156, 'la__epsilon': 0.3274564432998091, 'la__kernel': 'sigmoid'}",0.247007614238232,0.20255668415884,0.18
0,random search,"{'la__degree': 3, 'la__coef0': 0.16772699243007183, 'la__gamma': 0.005997328574886847, 'la__C': 6270.914354241156, 'la__epsilon': 0.3274564432998091, 'la__kernel': 'sigmoid'}",-0.589172242696929,0.379505873502663,0.08
0,random search,"{'la__degree': 3, 'la__coef0': 0.16772699243007183, 'la__gamma': 0.005997328574886847, 'la__C': 6270.914354241156, 'la__epsilon': 0.3274564432998091, 'la__kernel': 'sigmoid'}",-0.541926564025122,0.37316473025595,0.12
0,sway,"{'la__degree': 4, 'la__coef0': 0.6338025408710218, 'la__gamma': 0.34469665119227194, 'la__C': 3883.6328968684907, 'la__epsilon': 0.15977447920395146, 'la__kernel': 'sigmoid'}",-0.522521568156179,0.402491911979224,0.12
0,sway,"{'la__degree': 4, 'la__coef0': 0.6338025408710218, 'la__gamma': 0.34469665119227194, 'la__C': 3883.6328968684907, 'la__epsilon': 0.15977447920395146, 'la__kernel': 'sigmoid'}",0.434422849192577,0.349210435325671,0.36
0,sway,"{'la__degree': 4, 'la__coef0': 0.6338025408710218, 'la__gamma': 0.34469665119227194, 'la__C': 3883.6328968684907, 'la__epsilon': 0.15977447920395146, 'la__kernel': 'sigmoid'}",0.439888508213352,0.388043212339914,0.28
0,tpe,"{'la__C': 15000.0, 'la__coef0': 0.999, 'la__degree': 5, 'la__epsilon': 1e-05, 'la__gamma': 1e-05, 'la__kernel': 'poly'}",0.181109858580589,0.173493418909868,0.14
0,tpe,"{'la__C': 15000.0, 'la__coef0': 0.999, 'la__degree': 5, 'la__epsilon': 1e-05, 'la__gamma': 1e-05, 'la__kernel': 'poly'}",-0.541488696183476,0.334768141394494,0.04
0,tpe,"{'la__C': 15000.0, 'la__coef0': 0.999, 'la__degree': 5, 'la__epsilon': 1e-05, 'la__gamma': 1e-05, 'la__kernel': 'poly'}",-0.382478006578522,0.231295945133927,0.12
0,tpe,"{'la__C': 15000.0, 'la__coef0': 0.999, 'la__degree': 5, 'la__epsilon': 1e-05, 'la__gamma': 1e-05, 'la__kernel': 'poly'}",-0.719335665121761,0.248061115268176,0.12
0,tpe,"{'la__C': 15000.0, 'la__coef0': 0.999, 'la__degree': 5, 'la__epsilon': 1e-05, 'la__gamma': 1e-05, 'la__kernel': 'poly'}",0.210831336012623,0.230798827114544,0.13
0,tpe,"{'la__C': 15000.0, 'la__coef0': 0.999, 'la__degree': 5, 'la__epsilon': 1e-05, 'la__gamma': 1e-05, 'la__kernel': 'poly'}",0.211546302163696,0.230963195786434,0.13
0,nsga-ii,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.8423785649499391, 'la__gamma': 0.3367035201968941, 'la__C': 4376.645107031075, 'la__epsilon': 0.20678087598322245}",0.436404461133097,0.370410666773552,0.32
0,nsga-ii,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.8423785649499391, 'la__gamma': 0.3367035201968941, 'la__C': 4376.645107031075, 'la__epsilon': 0.20678087598322245}",0.441886899914646,0.363454250389038,0.32
